,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
268,269,2014,지미스 홀,켄 로치,그린나래미디어(주),2014-10-09,영국,34,85661500,11545,드라마,12세이상관람가,독립/예술영화
269,270,2014,곤충왕국 3D,"김진만,김정민",골든타이드픽처스(주),2014-08-14,한국,39,84825300,11263,다큐멘터리,전체관람가,독립/예술영화
270,271,2014,피쉬와 칩스 극장판,댄 크레치,"(주)마인스 엔터테인먼트,(유)영화사 화수분",2014-03-06,호주,158,80252400,11802,애니메이션,전체관람가,독립/예술영화
271,272,2014,와즈다,하이파 알-만수르,(주)프레인글로벌,2014-06-19,기타,51,79998200,11135,드라마,전체관람가,독립/예술영화
272,273,2014,현기증,이돈구,메가박스중앙(주)플러스엠,2014-11-06,한국,71,79449300,11785,가족,청소년관람불가,독립/예술영화
273,274,2014,일대일,김기덕,(주)김기덕 필름,2014-05-22,한국,53,78745100,10141,드라마,청소년관람불가,독립/예술영화
274,275,2014,닐스의 모험,오시이 마모루,에이원엔터테인먼트,2014-02-27,일본,107,77024900,11161,애니메이션,전체관람가,독립/예술영화
275,276,2014,콰이어트 원,존 포그,(주)더블앤조이픽쳐스,2014-09-18,영국,69,75213500,9736,공포(호러),15세이상관람가,독립/예술영화
276,277,2014,드래프트 데이,이반 라이트만,(주)영화사 빅,2014-07-10,미국,82,74216200,10119,드라마,12세이상관람가,일반영화
277,278,2014,메이크 유어 무브,듀안 아들러,(주)씨제이이엔엠,2014-04-17,한국,96,73741600,9368,멜로/로맨스,12세이상관람가,일반영화
278,279,2014,야간비행,이송희일,(주)엣나인필름,2014-08-28,한국,45,72926100,9157,드라마,청소년관람불가,독립/예술영화
279,280,2014,백투더 씨,톰 루,와이드 릴리즈(주),2014-08-21,중국,85,71452300,10566,애니메이션,전체관람가,독립/예술영화
280,281,2014,그 사람 추기경,전성우,주식회사 마운틴픽쳐스,2014-08-06,한국,43,71284100,10138,다큐멘터리,전체관람가,독립/예술영화
281,282,2014,한 번도 안 해본 여자,안철호,(주)팝엔터테인먼트,2014-01-16,한국,66,71166500,9469,멜로/로맨스,청소년관람불가,일반영화
282,283,2014,러브 인 비즈니스클래스,알렉상드르 카스타그네티,(주)마인스 엔터테인먼트,2014-03-20,프랑스,79,68185500,9357,멜로/로맨스,청소년관람불가,독립/예술영화
283,284,2014,더블: 달콤한 악몽,리처드 아요데,(주)엣나인필름,2014-09-25,영국,45,66138718,8504,미스터리,15세이상관람가,독립/예술영화
284,285,2014,"1789, 바스티유의 연인들",정성복,유니버설픽쳐스인터내셔널 코리아(유),2014-09-18,한국,35,66042500,3827,뮤지컬,전체관람가,일반영화
285,286,2014,드래곤 기사단,"앵겔 이즈퀴에르도,리카르도 라몬",(주)영화사 빅,2014-05-01,스페인,91,64333400,9138,애니메이션,전체관람가,일반영화
